"learner","metric","value","metric_group","base_method","meta_type"
"tkern","pct_beats_zero",0.951087,"vs_zero_pred","kernel","T-learner"
"tkern","pct_worse_zero",0.048913,"vs_zero_pred","kernel","T-learner"
"tkern","rank_corr_mean",0.794441,"rank_correlation","kernel","T-learner"
"tkern","rank_corr_sd",0.13458,"rank_correlation","kernel","T-learner"
"tkern","rank_corr_p10",0.62969,"rank_correlation","kernel","T-learner"
"tkern","rank_corr_p50",0.81885,"rank_correlation","kernel","T-learner"
"tkern","rank_corr_p90",0.92696,"rank_correlation","kernel","T-learner"
"tkern","sign_sg1_rate",0.983696,"sign_recovery","kernel","T-learner"
"tkern","sign_sg2_rate",0.907609,"sign_recovery","kernel","T-learner"
"tkern","sign_both_rate",0.891304,"sign_recovery","kernel","T-learner"
"tkern","sign_sg2_ate_q1",0.978261,"sign_recovery","kernel","T-learner"
"tkern","sign_sg2_ate_q4",0.826087,"sign_recovery","kernel","T-learner"
"tkern","rec_sg1_p10",0.26361,"recovery_ratio_sg1","kernel","T-learner"
"tkern","rec_sg1_p25",0.491275,"recovery_ratio_sg1","kernel","T-learner"
"tkern","rec_sg1_p50",0.73735,"recovery_ratio_sg1","kernel","T-learner"
"tkern","rec_sg1_p75",0.9897,"recovery_ratio_sg1","kernel","T-learner"
"tkern","rec_sg1_p90",1.165,"recovery_ratio_sg1","kernel","T-learner"
"tkern","rec_sg2_p10",0.04068,"recovery_ratio_sg2","kernel","T-learner"
"tkern","rec_sg2_p25",0.398475,"recovery_ratio_sg2","kernel","T-learner"
"tkern","rec_sg2_p50",0.68505,"recovery_ratio_sg2","kernel","T-learner"
"tkern","rec_sg2_p75",1.1337,"recovery_ratio_sg2","kernel","T-learner"
"tkern","rec_sg2_p90",1.49824,"recovery_ratio_sg2","kernel","T-learner"
"tkern","ate_bias_mean",0.193471,"ate_bias","kernel","T-learner"
"tkern","ate_bias_sd",1.096354,"ate_bias","kernel","T-learner"
"tkern","bias_sq",1.232891,"other","kernel","T-learner"
"tkern","variance",6.346044,"other","kernel","T-learner"
"tkern","norm_bias_sq",0.082754,"bias_variance","kernel","T-learner"
"tkern","norm_variance",0.429703,"bias_variance","kernel","T-learner"
"tlasso","mse_median",5.722388,"MSE","lasso","T-learner"
"tlasso","mse_p10",2.360391,"MSE","lasso","T-learner"
"tlasso","mse_p25",4.035724,"MSE","lasso","T-learner"
"tlasso","mse_p75",8.067609,"MSE","lasso","T-learner"
"tlasso","mse_p90",10.93979,"MSE","lasso","T-learner"
"tlasso","mse_mean",6.380595,"MSE","lasso","T-learner"
"tlasso","nmse_median",0.3916,"nMSE","lasso","T-learner"
"tlasso","nmse_p10",0.16054,"nMSE","lasso","T-learner"
"tlasso","nmse_p25",0.2739,"nMSE","lasso","T-learner"
